,gene_id,group_1,group_2,p_value,chi2_stat,alpha_combined,alpha1,alpha2,transcript_ids
13,Myl6,Radial glia,mature GABAergic,0.06799250841140747,5.376714706420898,"[2.2300734519958496, 2.8857574462890625]","[44.785362243652344, 356.09307861328125]","[14.737444877624512, 11.893924713134766]","['2663', '13036']"
14,Serbp1,Radial glia,mature GABAergic,0.03695213794708252,10.21535873413086,"[10.777234077453613, 15.625455856323242, 15.237578392028809, 10.668421745300293]","[172.46694946289062, 0.10476852208375931, 86.70917510986328, 172.46694946289062]","[39.916690826416016, 82.14299774169922, 69.60613250732422, 39.73263931274414]","['3170', '7209', '15243', '18001']"
15,Mpped2,Radial glia,mature GABAergic,1.0,0.0,[1.0],[1.0],[1.0],['9468']
16,Gnas,Radial glia,mature GABAergic,1.0,0.0,[1.0],[1.0],[1.0],['11986']
17,Hnrnpa1,Radial glia,mature GABAergic,1.0,0.0,[1.0],[1.0],[1.0],['11557']
18,Hnrnpk,Radial glia,Imature GABAergic,0.0009504556655883789,20.632171630859375,"[3.83882737159729, 3.8975415229797363, 3.2019124031066895, 9.94869327545166, 14.021452903747559]","[22.955768585205078, 21.50585174560547, 21.640552520751953, 22.877418518066406, 50.19700241088867]","[11.039868354797363, 12.843252182006836, 7.281252861022949, 55.257015228271484, 64.15699005126953]","['114', '7680', '9300', '12930', '15225']"
19,Nnat,Radial glia,Imature GABAergic,0.0010060667991638184,13.803356170654297,"[7.454763412475586, 7.687129497528076]","[177.8066864013672, 250.49200439453125]","[8.086261749267578, 5.43867301940918]","['969', '16000']"
20,Hnrnpa2b1,Radial glia,Imature GABAergic,0.13281643390655518,4.037574768066406,"[19.0458984375, 224.2830810546875]","[10.012584686279297, 239.91110229492188]","[38.77128982543945, 306.0658264160156]","['1073', '17352']"
21,Mtch1,Radial glia,Imature GABAergic,0.008478283882141113,9.540498733520508,"[1.999116063117981, 0.5207422375679016]","[125.37458801269531, 4.226297378540039]","[187.14495849609375, 187.14495849609375]","['1858', '5563']"
22,Myl6,Radial glia,Imature GABAergic,0.05969327688217163,5.63707160949707,"[0.868064284324646, 1.1617079973220825]","[44.785362243652344, 356.09307861328125]","[236.811767578125, 59.5340461730957]","['2663', '13036']"
23,Hnrnpab,Radial glia,Imature GABAergic,0.48621541261672974,1.4422073364257812,"[123.78282928466797, 26.203344345092773]","[232.570068359375, 21.400592803955078]","[222.51065063476562, 83.82569122314453]","['7878', '18161']"
24,Pkm,Radial glia,Imature GABAergic,0.0008645057678222656,14.106769561767578,"[0.752612292766571, 0.87931889295578]","[177.2386932373047, 50.77109146118164]","[9.1309232711792, 69.5501937866211]","['13957', '15782']"
25,Srsf3,Imature glutamatergic,Mature glutamatergic,1.0,0.0,[1.0],[1.0],[1.0],['11179']
26,Hnrnpk,Imature glutamatergic,mature GABAergic,0.9298296272754669,0.1455078125,"[154.3996124267578, 104.03289794921875]","[196.74069213867188, 164.19671630859375]","[147.4026336669922, 95.68995666503906]","['12930', '15225']"
27,Atp5c1,Imature glutamatergic,mature GABAergic,1.0,0.0,[1.0],[1.0],[1.0],['18236']
28,Rpl35a,Imature glutamatergic,mature GABAergic,0.1565529704093933,5.217399597167969,"[12.49592113494873, 31.329206466674805, 68.81265258789062]","[49.07577896118164, 159.41232299804688, 241.07667541503906]","[9.510165214538574, 20.074832916259766, 55.88691329956055]","['5951', '7383', '10788']"
29,Gnas,Imature glutamatergic,mature GABAergic,1.0,0.0,[1.0],[1.0],[1.0],['11986']
30,Hnrnpk,Imature glutamatergic,Imature GABAergic,0.2575188875198364,4.0367889404296875,"[20.27775764465332, 62.00508117675781, 72.7230453491211]","[83.5404281616211, 114.17909240722656, 166.2364959716797]","[16.07581329345703, 73.53695678710938, 80.54521942138672]","['114', '12930', '15225']"
31,Nnat,Imature glutamatergic,Imature GABAergic,0.7251078188419342,0.6428699493408203,"[8.71357536315918, 6.357085704803467]","[12.257810592651367, 10.40493392944336]","[8.086261749267578, 5.43867301940918]","['969', '16000']"
32,Pkm,Imature glutamatergic,Imature GABAergic,0.000713646411895752,14.490255355834961,"[0.503740668296814, 0.5428371429443359]","[257.4561462402344, 26.011592864990234]","[9.1309232711792, 69.5501937866211]","['13957', '15782']"
33,Hnrnpa1,Mature glutamatergic,mature GABAergic,1.0,0.0,[1.0],[1.0],[1.0],['11557']
34,Srsf3,Mature glutamatergic,mature GABAergic,1.0,0.0,[1.0],[1.0],[1.0],['11179']
35,Rpl35a,Mature glutamatergic,Imature GABAergic,0.12848597764968872,5.675941467285156,"[6.223456859588623, 14.658867835998535, 28.26140785217285]","[6.899980068206787, 53.931644439697266, 114.43614196777344]","[22.048377990722656, 41.00431823730469, 76.22785186767578]","['5951', '7383', '10788']"
36,Hnrnpk,mature GABAergic,Imature GABAergic,0.26297175884246826,2.671417236328125,"[62.222389221191406, 53.900856018066406]","[147.4026336669922, 95.68995666503906]","[53.84860610961914, 63.33194351196289]","['12930', '15225']"
37,Nnat,mature GABAergic,Imature GABAergic,0.28571295738220215,2.505535125732422,"[9.033103942871094, 6.565070152282715]","[222.02586364746094, 245.922119140625]","[8.086261749267578, 5.43867301940918]","['969', '16000']"
38,Set,mature GABAergic,Imature GABAergic,0.016637027263641357,8.192245483398438,"[81.15716552734375, 13.094935417175293]","[362.98724365234375, 87.27696990966797]","[60.06641387939453, 0.04778559133410454]","['7409', '7735']"
39,Myl6,mature GABAergic,Imature GABAergic,0.39808154106140137,1.8421974182128906,"[11.52502155303955, 7.570452690124512]","[14.737444877624512, 11.893924713134766]","[236.811767578125, 59.5340461730957]","['2663', '13036']"
40,Rpl35a,mature GABAergic,Imature GABAergic,0.2879638671875,3.765167236328125,"[7.917717933654785, 15.687910079956055, 35.98227310180664]","[9.510165214538574, 20.074832916259766, 55.88691329956055]","[22.048377990722656, 41.00431823730469, 76.22785186767578]","['5951', '7383', '10788']"
41,Rpl35a,mature GABAergic,Cajal Retzius,0.7413066625595093,1.2488784790039062,"[9.922101974487305, 20.368671417236328, 59.21446228027344]","[9.510165214538574, 20.074832916259766, 55.88691329956055]","[40.93342590332031, 40.93342590332031, 324.66876220703125]","['5951', '7383', '10788']"
42,Gnas,mature GABAergic,Cajal Retzius,1.0,0.0,[1.0],[1.0],[1.0],['11986']
43,Nnat,Imature GABAergic,Cajal Retzius,0.08754336833953857,4.871242523193359,"[7.49888277053833, 7.020003795623779]","[8.086261749267578, 5.43867301940918]","[10.99418830871582, 12.363505363464355]","['969', '16000']"
